"Salary","NBA_DraftNumber","Age","MP","PER","TS%","DRB%","VORP","G","OBPM","DBPM","BPM","OWS","DWS","WS","AST%","STL%"
22.4506677676623,24,22,807,7,0.511,7.5,-0.5,52,-2.3,-2.4,-4.6,0.1,0.7,0.8,9.4,0.7
38.0633613528723,62,31,339,10.2,0.589,18.7,-0.3,28,-4.8,-0.6,-5.4,-0.1,0.3,0.2,3.6,0.7
38.7120765360441,24,25,1856,14.4,0.531,11.2,0.8,56,1.6,-1.9,-0.2,1.5,1,2.5,12.5,1.6
24.3347337568429,62,27,807,11.2,0.477,12.7,0,56,-2.3,0.1,-2.2,0.4,0.9,1.3,31.4,2.6
25.9619822121061,10,20,1205,10.5,0.502,14.4,-0.1,71,-2.5,0.1,-2.4,0.4,1.1,1.5,5.3,1.6
19.9768378704696,42,20,34,7.7,0.473,15.6,0,11,-3.8,-3.3,-7.1,0,0,0,7.8,0
37.7949694084389,12,29,2544,14.7,0.528,14.1,2.2,78,0.1,1.3,1.4,2.1,3.1,5.2,8.4,2.5
30.0908909468855,13,33,806,15.9,0.591,18.5,0.8,38,-0.3,2.2,1.8,1,1.6,2.6,6.4,3.2
24.3039348278709,16,23,1980,15.4,0.524,16.2,2,77,1,1,2,2.3,3.3,5.6,17,2
35.0478713325972,8,26,576,10.3,0.515,11.6,0,22,-1.8,0.1,-1.7,-0.1,0.5,0.5,8.9,2.3
23.7334245728264,21,19,728,7,0.532,3.9,-0.1,59,-1.5,-1.3,-2.8,0.5,0.5,1.1,3.2,1.6
25.382850932242,12,23,2359,12.3,0.544,15.4,0.5,79,-1.1,0,-1.1,-0.3,1.9,1.6,13.4,1.7
27.1508291905817,62,26,474,14.9,0.589,19.9,0.2,48,-2.6,2,-0.5,0.6,0.9,1.4,3.8,2.1
37.3377520933933,26,32,2613,15.4,0.615,16.5,2.1,78,1,0.1,1.2,5.3,1.5,6.8,5.3,1.1
26.8978261738379,14,24,2142,17.7,0.541,10.6,0.1,65,-0.1,-1.8,-1.9,2.7,0.8,3.5,7.2,1.5
22.7457151748372,62,25,1651,12.3,0.546,11.5,0.5,72,-1.9,1.1,-0.7,1.2,2.4,3.6,24.7,2.6
24.4102320668809,18,20,428,10.5,0.554,13.4,-0.3,50,-1.9,-2.7,-4.7,0.5,0.3,0.7,2.6,0.6
41.4343754594816,12,24,2390,20.8,0.628,13.9,3.3,73,2.2,1.2,3.4,6.4,2.9,9.3,5.5,1.9
19.9768378704696,46,22,728,9.5,0.513,17.6,-0.3,51,-2.8,-1,-3.8,0.1,0.7,0.8,4.6,2.1
45.5852587873213,7,29,1631,28.2,0.675,14.4,4.4,51,9.8,-1.2,8.6,7.2,1.9,9.2,30.2,2.4
26.7936415245686,8,21,1773,9.1,0.483,13.2,0.3,65,-2.6,1.2,-1.4,-0.6,2.3,1.8,8.2,2.6
22.9232300216075,38,24,2217,16,0.526,10.3,1.3,77,2.1,-1.7,0.4,4.2,1.3,5.5,35.1,1.4
36.2480677155722,23,26,127,6.8,0.385,12.4,-0.1,8,-3.1,-0.5,-3.6,-0.1,0.1,0,16.9,1.5
22.1814498023565,28,21,1240,14.3,0.513,18.2,-0.2,60,-2.7,0,-2.7,0.4,0.9,1.3,9.1,1
19.9768378704696,48,23,1059,8.1,0.517,10.1,0.2,69,-2.6,1.2,-1.4,0.1,0.9,1,7,2.1
30.9879805771199,34,27,1283,13.7,0.526,11.9,-0.1,65,-1,-1.2,-2.2,1.1,1,2,29.3,1.9
32.7289796684608,4,32,1081,11.6,0.539,8.9,-0.4,68,-2.5,-0.8,-3.3,0.9,1,1.8,16.5,1.5
12.3651486743296,62,24,291,15.2,0.534,16.5,0.2,20,-1.3,1.5,0.2,0.2,0.3,0.6,18.1,3.5
22.9232300216075,18,25,686,10.2,0.506,10.1,-0.1,50,-2.3,0,-2.4,0.3,0.9,1.3,16.3,1.8
25.2403681132608,24,26,1455,14.5,0.553,9.9,0.9,70,0,0.4,0.4,1.3,1.9,3.2,15.1,2.7
23.0960072070477,14,25,385,14.4,0.5,14,-0.4,41,-2,-3.8,-5.8,0.3,0.2,0.5,6.4,1.2
40.4129951836417,24,28,2010,14.5,0.569,21.2,0.8,73,-0.9,0.5,-0.4,1.9,2.8,4.8,4.4,0.7
22.1039437111032,37,23,1049,4,0.448,11,-0.4,69,-3.8,0.3,-3.5,-0.3,1.2,0.9,2.4,1
22.9232300216075,62,28,537,9.5,0.475,14.9,-0.7,48,-3.7,-3.8,-7.5,-0.5,0.3,-0.2,11.5,0.8
11.7878893418305,62,28,8,-4.6,0.266,0,0,1,-14.8,-5.9,-20.7,0,0,0,15.8,0
23.7614470886936,18,23,817,11.1,0.526,15.5,-0.3,69,-2.4,-0.9,-3.3,0.4,0.6,1.1,6,1.3
22.7457151748372,62,31,729,17.8,0.644,25.3,1,61,-2.1,5.4,3.2,1.3,1.3,2.7,7.2,1.5
40.196778784643,21,29,1725,12.6,0.592,15.4,1,66,1.1,-0.8,0.2,3.1,1.6,4.7,5.1,0.7
43.6685152431659,4,29,2801,25,0.528,25.3,7.2,77,5.2,3,8.2,5.5,4.3,9.8,49.4,2.5
41.2309301759578,27,25,1702,20.9,0.659,27.5,2.7,52,-0.3,4.5,4.2,4,3.6,7.6,6.7,1.2
33.3741078340937,8,31,1160,17.8,0.545,19.5,0.6,54,-0.8,1,0.2,0.9,2,2.9,9.5,1.9
19.9768378704696,62,24,1052,10.4,0.521,20.2,0.2,65,-2.7,1.7,-1.1,0.3,1.7,1.9,12.3,1.7
22.7457151748372,23,23,1811,17.3,0.55,19.8,0.8,64,-1.1,0.9,-0.2,2.3,1.8,4.1,14.2,1.6
28.8391991091829,62,24,385,9.3,0.504,7.2,0.1,29,-1.9,0.9,-1,0.1,0.4,0.5,15.5,3.3
12.3651486743296,62,23,203,4.1,0.427,8.2,-0.3,12,-5,-2.7,-7.7,-0.3,0.1,-0.3,7.1,0.7
22.1814498023565,62,26,258,12.4,0.623,8.3,0.1,15,0.3,-0.6,-0.3,0.4,0.3,0.7,6.9,1.6
25.3000912956659,23,25,1576,14.4,0.545,9.8,0,58,0.2,-2.2,-2.1,1.1,1.4,2.5,9.7,1.4
37.2129196448057,15,29,1690,14.7,0.552,10.2,0.1,64,-1.6,-0.2,-1.9,1.2,0.8,2,12.3,0.4
38.8138541720625,62,27,2408,12.8,0.562,15.3,2.7,76,0.4,2,2.4,1.5,4.2,5.7,8.7,2.6
37.497882659591,5,27,2185,15,0.533,15.2,1.8,73,-0.1,1.5,1.3,1.2,3.5,4.7,28.3,2.6
22.7457151748372,37,24,668,16.8,0.566,22,0.6,44,-0.5,1.9,1.4,1.3,1.1,2.4,12.8,1.3
25.5591732561318,13,37,163,6.3,0.499,10.4,-0.2,20,-3.8,-2.1,-5.9,0.1,0,0.1,12,0.6
38.4508899622044,24,27,1084,15.5,0.516,9.3,0.1,41,0.5,-2.1,-1.6,0.7,0.9,1.6,32.1,1.1
25.5591732561318,25,26,1732,13.6,0.615,8.3,1.2,62,1.3,-0.6,0.7,2.8,1.5,4.3,8.4,1.4
25.1630343276141,5,33,1324,13.2,0.492,11.1,-0.3,79,-1.1,-1.8,-2.8,0.9,1.3,2.2,22.9,1.8
22.7457151748372,47,25,478,12.3,0.554,9.4,-0.1,39,-1.7,-1.3,-3.1,0.4,0.5,0.9,23.2,1.2
24.0310669791934,17,21,212,9.3,0.546,9.9,-0.1,28,-1.9,-2.9,-4.7,0.1,0.1,0.2,8.7,1.2
25.1630343276141,56,31,391,10.8,0.473,9.1,-0.3,27,-3.2,-2,-5.2,0,0.3,0.3,26.5,1.8
27.1689632771849,21,31,1591,14.9,0.519,14.4,0.2,61,-0.6,-0.9,-1.5,1.7,1.5,3.2,41.6,1.8
12.5892541179417,62,24,597,13.4,0.6,10.1,0,29,0.7,-2.7,-2,1,0.4,1.4,16.7,0.9
28.1124609816989,26,29,196,4,0.398,10.7,-0.2,23,-6.1,-0.6,-6.6,-0.3,0.1,-0.2,6.3,2
23.5089551232919,37,27,1270,7.5,0.51,17.2,-0.2,66,-2.5,-0.3,-2.8,-0.4,1,0.6,5.9,1.1
22.1814498023565,48,23,824,5.2,0.444,15.9,-0.8,54,-5.5,-0.3,-5.8,-1.2,0.6,-0.6,8,1.2
44.5580097494348,47,32,1008,18.2,0.564,18.3,0.9,34,0.6,0.8,1.4,1.5,1,2.5,14.6,1.9
40.1653444950928,10,27,2779,18.4,0.566,15,3.1,76,2.3,0.1,2.4,4.5,3.8,8.3,14.7,2.8
38.4508899622044,3,37,1753,19,0.54,30.3,2.3,74,-0.2,3.3,3.1,2.6,3.2,5.8,20,0.6
35.2039918429899,55,29,2018,12.1,0.562,7,0.9,79,1,-1.3,-0.2,2.1,2.1,4.2,16.1,1.3
30.0174385631795,14,28,1234,9.7,0.545,14.5,0.2,79,-1.8,0.3,-1.5,1,1.4,2.4,5.8,1.9
22.1814498023565,38,22,961,7.4,0.477,7.1,-0.3,57,-2.9,-0.4,-3.3,-0.3,0.9,0.6,10.6,2.2
30.4168520943315,42,29,334,12.3,0.53,9.4,0.2,11,0.4,0.3,0.7,0.1,0.3,0.4,13.8,2.6
22.7457151748372,41,25,1432,9.3,0.535,9,0.2,78,-0.9,-0.6,-1.5,1.1,1.2,2.3,8.9,0.7
22.1814498023565,27,23,1577,14.9,0.554,18.8,1.7,77,0.1,2.1,2.2,2.1,2.3,4.5,13.3,1.9
32.6327468028609,35,32,2170,8.4,0.537,17.4,1.2,78,-1.3,1.5,0.2,1,2.8,3.8,4.6,1.8
42.3327280641948,3,24,2349,18.4,0.601,18,3.3,74,2.5,1.1,3.6,4.9,3,7.9,10,2.4
24.613998015042,23,29,740,15.5,0.632,23.9,0.1,53,-1.4,0.2,-1.3,1.2,1,2.2,9.5,1.2
35.1177566760137,36,31,121,4.5,0.423,26.1,-0.2,14,-7.4,-0.8,-8.2,-0.1,0.1,0,2,0.4
22.1814498023565,62,25,80,8.9,0.577,11.2,0,6,-1.5,-1.3,-2.8,0.1,0.1,0.2,3.5,0.6
